"provider_type","total_submitted_charges","total_medicare_payments","charge_gap"
"Ambulatory Surgical Center",32823436547.16,5326834442.18,27496602104.98
"Diagnostic Radiology",26252764822.83,4079854365.66,22172910457.17
"Hematology-Oncology",23589532600.98,6401141228.02,17188391372.96
"Ophthalmology",24615961028.25,7642611535.21,16973349493.04
"Clinical Laboratory",24083135609.15,7379012324.791,16704123284.359
"Nurse Practitioner",23992203678.24,7489201634.23,16503002044.01
"Internal Medicine",23629109096.98,7564497493.26,16064611603.72
"Ambulance Service Provider",19952621824.54,4384993508.17,15567628316.37
"Anesthesiology",15645725399.05,1389361113.81,14256364285.24
"Emergency Medicine",15856486951.54,2026504177.69,13829982773.85
"Orthopedic Surgery",15435000758.5,2851799755.18,12583201003.32
"Physician Assistant",14491587456.79,2903508585.61,11588078871.18
"Cardiology",14783238759.44,3721691249.36,11061547510.08
"Family Practice",14448347569.37,4897840583.06,9550506986.31
"Certified Registered Nurse Anesthetist (CRNA)",10056474235.06,822739432.47,9233734802.59
"Physical Therapist in Private Practice",11422135631.17,3399952791.58,8022182839.59
"Dermatology",9356519998.07,3009740163.43,6346779834.64
"Radiation Oncology",7630340306.28,1461099436.18,6169240870.1
"Gastroenterology",7365985846.19,1353523133.84,6012462712.35
"Medical Oncology",7324749884.29,1908714153.88,5416035730.41
"Urology",6719139015.3,1587947974.93,5131191040.37
"Rheumatology",7569685699.83,2446625601.75,5123060098.08
"Independent Diagnostic Testing Facility (IDTF)",5825449155.36,903309298.29,4922139857.07
"Neurology",6336252489.84,1591535327.69,4744717162.15
"General Surgery",6014372198.78,1345968006.11,4668404192.67
"Pathology",5360769402.06,1082447174.76,4278322227.3
"Vascular Surgery",4054630902.72,835988048.76,3218642853.96
"Neurosurgery",3777829223.39,560551372.47,3217277850.92
"Physical Medicine and Rehabilitation",4122282005.01,973973028.01,3148308977
"Interventional Cardiology",4042495414.1,948691239.08,3093804175.02
"Podiatry",5191787094.22,2126773799.71,3065013294.51
"Nephrology",4165386018.2,1376514251.4,2788871766.8
"Otolaryngology",3654873810.75,915546062.72,2739327748.03
"Hospitalist",3755104157.91,1024211470.9,2730892687.01
"Pulmonary Disease",3809791983.95,1083823658.74,2725968325.21
"Pain Management",2592367039.78,441353619.51,2151013420.27
"Clinical Cardiac Electrophysiology",2679609353.68,562550377.77,2117058975.91
"Interventional Radiology",2426310725.78,376650647.68,2049660078.1
"Interventional Pain Management",1792937134.76,312234272.6,1480702862.16
"Optometry",2381521526.44,922115019.94,1459406506.5
"Infectious Disease",1827296470.49,594757433.89,1232539036.6
"Psychiatry",1867942945.78,648092286.39,1219850659.39
"Plastic and Reconstructive Surgery",1510175901.03,328697033.88,1181478867.15
"Obstetrics & Gynecology",1566933361.84,410223489.44,1156709872.4
"Endocrinology",1645745149.88,530666349.15,1115078800.73
"Thoracic Surgery",1284046446.45,244879744.71,1039166701.74
"Critical Care (Intensivists)",1199359422.96,271451800.25,927907622.71
"Hand Surgery",1085655869.62,218822500.88,866833368.74
"Occupational Therapist in Private Practice",1194457190.65,378329511.09,816127679.56
"Allergy/ Immunology",1206464016.91,422106838.82,784357178.09
"Psychologist, Clinical",1099209921.53,442136459.91,657073461.62
"Cardiac Surgery",758336993.05,136621174.64,621715818.41
"Sports Medicine",735628385.25,153739344.68,581889040.57
"Hematology",761102285.23,192977123.34,568125161.89
"Chiropractic",1014216269.27,460513676.76,553702592.51
"Licensed Clinical Social Worker",827465876.05,311921780.52,515544095.53
"Micrographic Dermatologic Surgery",728062088.52,226774123.8,501287964.71999997
"Nuclear Medicine",655741843.86,167924611.1,487817232.76
"General Practice",801580201.71,335244800.97,466335400.74
"Anesthesiology Assistant",490127257.03,33863213.17,456264043.86
"Colorectal Surgery (Proctology)",565480670.51,126347062.01,439133608.5
"Pharmacy",1113027696.46,682386170.12,430641526.34
"Gynecological Oncology",526750228.22,112663315.75,414086912.47
"Geriatric Medicine",545472466.42,202441555.2,343030911.22
"Surgical Oncology",390688590.59,73055500.72,317633089.87
"Portable X-Ray Supplier",499770909.05,203769595.64000002,296001313.41
"Audiologist",275418015.02,54928578.06,220489436.96
"Advanced Heart Failure and Transplant Cardiology",276387398.47,64947937.88,211439460.59
"Radiation Therapy Center",237050956.48,27009302.35,210041654.13
"Mass Immunizer Roster Biller",1721028903.21,1541751645.63,179277257.58
"Pediatric Medicine",246206671.65,72598751.57000001,173607920.08
"Sleep Medicine",214301803.23,51113017.92,163188785.31
"Hospice and Palliative Care",204157031.17,57748538.72,146408492.45
"Centralized Flu",1079099299.75,938182684.93,140916614.82000002
"Osteopathic Manipulative Medicine",171981212.8,51343213.94,120637998.86
"Speech Language Pathologist",191107863.95,73565039.52,117542824.42999999
"Certified Clinical Nurse Specialist",135525655.03,43322809.99,92202845.04
"Undefined Physician type",117214394.73,28981669.26,88232725.47
"Hematopoietic Cell Transplantation and Cellular Therapy",109664331.67999999,24775836.84,84888494.84
"All Other Suppliers",168184642.55,88833589.88,79351052.67
"Oral Surgery (Dentist only)",105456251.85,34427086.42,71029165.43
"Peripheral Vascular Disease",81092131.76,17202426.11,63889705.65
"Opioid Treatment Program",270429842.99,223795727.73,46634115.26
"Undersea and Hyperbaric Medicine",66396304.98,22069037.55,44327267.43
"Maxillofacial Surgery",52151721.45,11160205.49,40991515.96
"Preventive Medicine",46001198.41,13623899.84,32377298.57
"Registered Dietitian or Nutrition Professional",36524144.57,13471820.84,23052323.73
"Neuropsychiatry",28054691.59,8165614.79,19889076.8
"Geriatric Psychiatry",29185426.69,9498649.92,19686776.77
"Home Infusion Therapy Services",27361530.16,8223540.45,19137989.71
"Dentist",27150310.25,9606284.83,17544025.42
"Addiction Medicine",22113752.59,6615558.53,15498194.06
"Adult Congenital Heart Disease",9530567.38,1851271.05,7679296.33
"Mammography Center",8138425.81,1777996.74,6360429.07
"Certified Nurse Midwife",9351073.44,3118678.55,6232394.89
"Medical Toxicology",4041279.29,893612.75,3147666.54
"Medical Genetics and Genomics",3081339.67,641081.68,2440257.99
"Slide Preparation Facility",3910704.78,1556387.25,2354317.53
"Clinic or Group Practice",3124426.58,1150050.9,1974375.6800000002
"Intensive Cardiac Rehabilitation",2795023.59,1301290.03,1493733.56
"Unknown Supplier/Provider Specialty",1118586.46,231926.67,886659.79
