"provider_type","total_services","total_medicare_payments"
"Ophthalmology",93781551.6,7642611535.21
"Internal Medicine",176905293,7564497493.26
"Nurse Practitioner",181598380,7489201634.23
"Clinical Laboratory",380934474.9,7379012324.791
"Hematology-Oncology",421755721.8,6401141228.02
"Ambulatory Surgical Center",20933436.3,5326834442.18
"Family Practice",121667655.4,4897840583.06
"Ambulance Service Provider",116024364.7,4384993508.17
"Diagnostic Radiology",211031568.3,4079854365.66
"Cardiology",60881545,3721691249.36
"Physical Therapist in Private Practice",165441982.9,3399952791.58
"Dermatology",51421806.1,3009740163.43
"Physician Assistant",81203765.8,2903508585.61
"Orthopedic Surgery",49363771.5,2851799755.18
"Rheumatology",191193817.2,2446625601.75
