"state","total_services","total_medicare_payments"
"CA",360679507.3,13535165704.28
"FL",353872073.7,10784177166.2
"TX",277106405.7,8805329618.45
"NY",192246437.5,7342590627.66
"IL",181697824.4,5084973099.299
"PA",153800726.9,4501966162.28
"NJ",139877453.3,4447819768.68
"AZ",89889428,3634006684.09
"MD",90766055.6,3227023504.32
"NC",104861668.9,3205880326.9
"VA",89293588,3025227456.68
"OH",86554151.3,3015321783.661
"GA",85705769.4,2822010263.87
"MA",66516138.9,2727644585.08
"TN",83296398.7,2567967154.7
"MI",68736847,2510277105.09
"SC",61149111.7,2033323883.45
"IN",68547728,1948936378.28
"WA",53727780.3,1881423260.77
"MO",50529829.7,1738109249.22
"CO",48716142.3,1698131365.64
"AL",59652529.2,1634777755.561
"WI",34374257.5,1487919860.6
"MN",43305546.3,1350979355.18
"OK",38379029.3,1307202564.98
"LA",38442469,1305351950.92
"KS",39702859,1176753626.86
"MS",33981723,1167359480.19
"NV",33378198.2,1162829298.44
"KY",33176424.1,1151796145.16
"AR",37086908,1117102696.5
"CT",25185188.9,1093564929.94
"OR",29569923.8,983948711.57
"IA",28592617,937845927.08
"UT",18357461.8,746365707.24
"NE",25483754.7,735595361.48
"ID",14309661.9,560278116.74
"DE",13892875.1,511867588.43
"NM",13544981.1,464935091.43
"NH",9420366.6,424621380.84
"WV",10099359.1,407707646.64
"MT",6759044.8,296657532.19
"ME",8178755.5,290225843.29
"SD",7388032.8,280985968.63
"DC",6367806.4,274268451.76
"RI",7032069.3,274052824.41
"AK",6641902.1,265677102.31
"HI",6385370.7,250043660.06
"ND",6660896.7,226923734.21
"WY",5193613.5,163616317.89
"VT",3196378.2,134063110.3
"PR",2851319.1,81075972.9
"GU",692448.9,21779536.86
"AE",873508,13179991.14
"VI",380187.2,12136419.87
"AP",45324,1876199.84
"MP",18458.2,1097303.54
"AA",25702,699000
"FM",498,34108.03
"AS",103,7069.49
